PET.MCRIMXX2.M,STEO.COPC_OPEC.M,STEO.COPRPUS.M,STEO.COPS_OPEC.M,STEO.CORIPUS.M,STEO.PAPR_NONOPEC.M,STEO.PAPR_OPEC.M,STEO.PASC_OECD_T3.M,STEO.PATC_NON_OECD.M,STEO.PATC_OECD.M,STEO.T3_STCHANGE_NOECD.M,STEO.T3_STCHANGE_OOECD.M,CPIENGSL,CAPG211S,CAPUTLG211S,IPG211S,IPG211111CN,INDPRO,IPN213111N,PCU211211,WTISPLC,GPR,SP500_returns,forecast_oil_price,OECD.GDP.GROWTH,Non-OECD.GDP.GROWTH,exchange_rate
4859.0,31.236635,5.757695,3.125143139,15.407,47.873598137,30.990528993,,28.839743866,48.928635065,,,129.2,64.3003,95.134,61.1715,88.4911,92.9827,103.5387,141.9,33.88,52.689998626708984,-0.053482974719764265,33.08,4.10441486404869,4.38141893719981,0.8721142857143
4721.0,31.236635,5.80903,2.8366169553,15.029,47.961524416,31.267354696,,28.574420068,48.376715009,,,129.6,64.3429,95.3265,61.3358,89.2779,92.64,106.3374,151.5,33.08,76.45652770996094,-0.00494948542177065,34.4,4.10441486404869,4.38141893719981,0.8551590909091
4612.0,31.236635,5.832669,2.8870380776,15.023,48.701613628,31.215988574,,28.872974519,48.835459067,,,129.2,64.4021,94.5005,60.8604,89.6408,92.6604,107.8376,147.7,34.4,45.06056213378906,-0.08006861010730892,28.46,4.10441486404869,4.38141893719981,0.8563863636364
4854.0,31.236635,5.855104,4.3162801165,15.232,48.492365084,29.780032006,,28.686399488,50.592603245,,,130.1,64.4759,93.6048,60.3525,89.985,92.3457,109.2683,171.2,28.46,45.39509963989258,0.004053445623728669,29.58,4.10441486404869,4.38141893719981,0.8973157894737
4517.0,31.415851,5.798925,4.3465067136,14.789,48.129700391,30.187850416,,28.996982237,49.872351568,,,135.0,64.5622,93.1399,60.1331,89.123,91.8908,116.0821,224.3,29.58,46.89955520629883,0.03463657667616449,29.61,1.41181511326405,4.18276836009663,0.9382818181818
4389.0,31.415851,5.780096,4.7398468857,14.813,48.440350585,29.757407613,,29.049067812,49.776269461,,,134.1,64.6595,94.3527,61.008,88.8331,91.2851,115.8212,174.7,29.61,55.087711334228516,-0.09229073539585964,27.24,1.41181511326405,4.18276836009663,0.921705
5131.0,31.415851,5.880314,4.051851646,14.649,48.479769387,30.444731853,,29.202052327,49.38177475,,,131.7,64.7639,94.5089,61.2077,90.373,91.0585,118.9027,150.4,27.24,61.708953857421875,-0.06420471080339152,27.41,1.41181511326405,4.18276836009663,0.9095227272727
5346.0,31.415851,5.862633,4.7315459034,15.536,48.176671698,29.737424931,,29.299889922,47.254184266,,,132.3,64.8706,94.8712,61.5436,90.1015,90.7384,122.9412,151.7,27.41,50.5687370300293,0.07681436165439459,28.64,1.41181511326405,4.18276836009663,0.892
5365.0,31.415851,5.829427,4.9701374651,15.763,47.78870032,29.497874369,,29.406583487,47.301002156,,,138.4,64.975,95.009,61.7321,89.5916,90.2607,125.7971,145.6,28.64,60.376861572265625,0.005090187401275648,27.6,1.41181511326405,4.18276836009663,0.8741636363636
4873.0,31.415851,5.765791,6.4599026685,15.65,47.699391532,28.017519092,,29.495607269,47.410708784,,,136.9,65.0717,94.2293,61.3166,88.6136,89.7811,127.2061,125.1,27.6,72.06433868408203,-0.02503538942756467,26.45,1.41181511326405,4.18276836009663,0.8531666666667
4987.0,31.415851,5.748633,5.2235851485,15.369,48.421887115,29.279047389,,28.73246034,48.310021574,,,129.6,65.1534,94.3972,61.5029,88.3501,89.2352,126.8381,106.4,26.45,61.072940826416016,-0.010740149595403703,27.47,1.41181511326405,4.18276836009663,0.8606636363636
4763.0,31.415851,5.725418,4.7093757768,15.259,48.070450989,29.792710761,,28.90594049,49.088256553,,,127.3,65.2126,94.2065,61.4345,87.993,89.157,123.2822,107.0,27.47,64.10773468017578,-0.06410840688075747,25.88,1.41181511326405,4.18276836009663,0.9004826086957
4960.0,31.415851,5.708991,5.519513374,15.005,48.499219135,28.92817268,,28.968413875,47.681509535,,,130.9,65.2466,94.64,61.7494,87.7408,88.6749,119.0859,95.9,25.88,498.64788818359375,-0.08172340570563885,22.21,1.41181511326405,4.18276836009663,0.911095
4926.0,31.415851,5.746111,5.6048273507,15.002,48.601519915,28.826012851,,29.468954125,48.399237318,,,122.9,65.2541,94.3287,61.5533,88.3115,88.4051,110.4185,79.1,22.21,512.5297241210938,0.018099111333141016,19.67,1.41181511326405,4.18276836009663,0.9058652173913
4462.0,31.415851,5.881376,5.7261151779,15.001,49.234672244,28.703223024,,29.52323076,49.12812961,,,116.9,65.2351,94.4688,61.6268,90.3883,87.886,102.9343,92.0,19.67,306.785888671875,0.0751759041240454,19.33,1.41181511326405,4.18276836009663,0.8883090909091
4423.0,31.415851,5.887461,6.656847786,14.688,49.419758771,27.775840416,,29.36840914,49.064847153,,,113.9,65.1921,94.284,61.4658,90.4819,87.8518,93.5731,78.3,19.33,236.09974670410156,0.0075738340889277556,19.67,1.41181511326405,4.18276836009663,0.8923722222222
4465.0,31.278895,5.87343,7.1041820195,14.487,49.396400771,27.282974939,,29.505377824,49.079813579,,,114.2,65.1277,93.4338,60.8512,90.2664,88.4634,91.3193,84.0,19.67,172.47720336914062,-0.015573832456979853,20.74,1.53541515035924,1.80124740128369,0.8832863636364
4165.0,31.278895,5.880913,7.1108229709,14.306,49.529021489,27.276523988,,29.650639688,49.459713135,,,113.5,65.0452,93.3065,60.6913,90.3818,88.4578,85.8447,77.9,20.74,146.1857147216797,-0.020766211039727644,24.42,1.53541515035924,1.80124740128369,0.870035
4394.0,31.278895,5.885822,6.8971974681,14.526,49.112108154,27.489427491,,29.758792646,48.539571986,,,117.6,64.9488,92.6298,60.162,90.4566,89.1265,81.2546,92.7,24.42,151.9763641357422,0.03673889286207466,26.27,1.53541515035924,1.80124740128369,0.8758
4108.0,31.278895,5.844439,8.1014446185,15.325,49.795211586,26.312569977,,30.062406813,47.474464971,,,121.5,64.8441,93.2667,60.478,89.821,89.5507,78.7155,111.9,26.27,157.49655151367188,-0.061417625919219065,27.02,1.53541515035924,1.80124740128369,0.8858428571429
3987.0,31.278895,5.905054,7.2453596649,15.301,49.597632971,27.167782931,,30.05029239,46.564791397,,,121.9,64.7378,94.1496,60.9504,90.7528,89.9348,84.1273,112.7,27.02,163.3223114013672,-0.009081481352177012,25.52,1.53541515035924,1.80124740128369,0.917
3763.0,31.278895,5.884388,7.4919002141,15.397,49.52103557,26.921607382,,30.034551521,47.448680977,,,121.6,64.6353,94.0378,60.7816,90.4353,90.6736,86.421,101.7,25.52,149.33042907714844,-0.0724553538081798,26.94,1.53541515035924,1.80124740128369,0.95544
3868.0,31.278895,5.750818,6.8971280119,15.43,49.33355375,27.543245221,,29.935578435,48.824492456,,,122.4,64.5418,94.4048,60.9305,88.3821,90.6436,87.2082,102.0,26.94,122.7783432006836,-0.07900427514940767,28.38,1.53541515035924,1.80124740128369,0.9921826086957
4167.0,31.278895,5.795801,7.0845218616,15.338,49.3403149,27.370602131,,29.919990811,48.406367398,,,123.1,64.4604,94.0794,60.644,89.0739,90.5505,87.3575,106.0,28.38,127.06451416015625,0.004881433306494376,29.67,1.53541515035924,1.80124740128369,0.9777590909091
3871.0,31.278895,5.411212,6.252436908,14.861,49.065214596,28.202698084,,29.840438805,48.202653834,,,123.7,64.394,90.5102,58.2831,83.1627,90.6373,88.5982,112.8,29.67,174.90333557128906,-0.11002431825242787,28.85,1.53541515035924,1.80124740128369,0.9807952380952
4221.0,31.278895,5.358216,5.4967264517,14.303,49.737175905,28.984613178,,30.636115445,48.960645438,,,126.9,64.3458,88.8768,57.1885,82.3487,90.3988,87.6465,119.5,28.85,172.03192138671875,0.08644880033371405,26.27,1.53541515035924,1.80124740128369,0.9811086956522
4206.0,31.278895,5.623528,5.3441550539,15.155,49.874484046,29.135758576,,30.445520869,49.824793649,,,126.7,64.3187,92.6692,59.6037,86.4268,90.8947,85.4735,128.8,26.27,159.12759399414062,0.05706962070498589,29.42,1.53541515035924,1.80124740128369,1.0013619047619
